,decision_id,label,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v211,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v231,v232,v233,v234,v235,v236,v237,v238,v239,v240,v241,v242,v243,v244,v245,v246,v247,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261,v262,v263,v264,v265,v266,v267,v268,v269,v270,v271,v272,v273,v274,v275,v276,v277,v278,v279,v280,v281,v282,v283,v284,v285,v286,v287,v288,v289,v290,v291,v292,v293,v294,v295,v296,v297,v298,v299,v300,v301,v302,v303,v304,v305,v306,v307,v308,v309,v310,v311,v312,v313,v314,v315,v316,v317,v318,v319,v320,v321,v322,v323,v324,v325,v326,v327,v328,v329,v330,v331,v332,v333,v334,v335,v336,v337,v338,v339,v340,v341,v342,v343,brand,carrier,device_name,gms_version,manufacturer,network_type,screen_height,screen_width,screen_dpi,rooted_device,rooted_device_custom,otp_autofill,allow_mock_locations,cloned_details
0,7a74c817-f036-4214-ade0-e5bfa07fd0fc,oot,0.0,514936.31,1450.4,0.0,59.0,150981.97,0.0,0.0,3.0,720000.0,7235.29,1841.3,0.0,663.47,1289.94,4.0,1.13,0.0,0.0,0.0,0.0,0.0,338799.64,3420.0,2.0,0.0,,338799.64,0.0,514936.31,1.74,0.58,0.0,0.0,0.0,0.0,0.0,2187.731685,150981.97,0.0,275066.49,0.0,17164.54,0.0,0.0,0.0,0.0,5851.41,0.0,0.0,8538.66,0.0,0.0,1.0,35.0,0.58,0.0,0.0,236.67,8200.0,6700.0,338799.64,0.0,0.38,0.58,1.84,236.67,5.0,2.97,236.67,0.0,0.0,0.0,925.68,46240.43,2.71,1450.4,583594.49,0.2,0.0,2.0,583594.49,0.0,0.0,5.0,0.0,0.0,0.0,3168.36,,0.25,0.0,514936.31,0.0,0.0,0.0,0.0,0.0,4.0,3.05,0.0,2.96,275066.49,34344.03,3168.36,0.0,9964.7,46240.43,0.0,32.0,0.05,0.0,3168.36,0.0,59.0,5.0,5.0,0.0,0.58,191079.49,8200.0,0.0,0.0,298940.86,1.77,0.0,22.4,0.0,0.58,0.0,,0.0,59.0,0.0,0.0,5911.76,1.0,46240.43,0.0,0.0,338174.64,3194.68,2.87,0.0,5911.76,0.0,3171.71,8200.0,426.0,16564.57,0.0,2.97,7235.29,1640.0,1640.0,0.64,0.0,0.0,9051.94,4.0,0.0,0.0,5.0,16564.57,0.0,0.0,34344.03,35.0,583594.49,5.0,6700.0,0.0,3.0,6163.85,2.0,0.0,16564.57,5911.76,0.03,298940.86,34344.03,1450.4,0.0,4.0,0.0,1.29,0.0,0.0,1008.47,35.0,275066.49,514936.31,1450.4,0.0,5911.76,1.0,10908.86,0.0,0.0,1.0,275066.49,151541.57,33.0,7235.29,338799.64,6700.0,853.47,0.0,9051.94,0.15,298940.86,8200.0,4.0,0.58,0.16,59.0,1104.65,0.0,0.97,0.0,0.0,0.0,1.0,338174.64,264.52,0.0,0.55,1.03,720000.0,35.0,241.18,0.0,46240.43,0.0,3168.36,663.47,720000.0,46240.43,0.0,0.0,0.0,0.0,0.0,298940.86,0.0,0.0,663.47,16564.57,0.0,0.0,7235.29,0.0,2.0,57.0,0.0,0.58,0.37,0.0,0.0,1675.0,853.47,191079.49,1.0,151541.57,0.58,151541.57,0.01,0.0,0.0,6343.42,6700.0,3268.56,5.0,0.0,0.0,0.0,0.0,0.0,1.03,151541.57,1.77,720000.0,0.0,3.0,0.0,0.0,0.1,122397.42,0.0,1.0,1.13,1640.0,330000.0,0.0,5.0,0.19,426.0,0.0,0.0,1675.0,663.47,0.0,0.0,0.0,1.0,89.13,0.0,8200.0,2.0,0.0,44.57,5.0,0.0,34.0,0.0,0.0,0.32,0.0,0.0,0.0,3682.6,6700.0,1594.52,0.0,0.0,0.0,0.0,236.67,583594.49,0.16,0.0,1.03,5.0,247.0,3.0,6700.0,0.0,0.35,0.0,1640.0,8200.0,0.0,34344.03,xiaomi,IND airtel,Xiaomi Redmi 6A,20.50.16 (100306-351607135),Xiaomi,4G,1344.0,720.0,xhdpi,False,False,True,False,"{""cloned"":false}"
1,7ba155b6-ce2c-432e-a717-163acd6306da,oot,0.0,445.33,4488.08,0.0,18.0,,0.0,0.0,0.0,330000.0,7497.47,205.6,0.0,49.06,2049.0,14.0,0.05,0.0,0.0,0.0,0.0,0.0,23057.12,2.0,2.0,0.0,0.02,37830.12,0.0,445.33,0.16,11.02,0.0,0.0,0.0,0.0,0.0,3268.164707,,0.0,12314.03,0.0,18.86,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.07,0.0,0.0,0.0,0.0,0.0,37830.12,0.0,0.04,18.07,0.03,0.0,10.0,0.0,0.0,0.0,0.0,0.0,103.36,8604.08,0.0,79.06,2093.06,0.0,0.0,2.0,2093.06,0.0,0.0,2.0,0.0,0.0,0.0,1921.43,,0.0,0.0,445.33,0.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.05,7495.1,8241.52,2101.67,0.0,340.81,8604.08,0.0,0.0,0.11,0.0,2101.67,0.0,12.0,0.0,2.0,0.0,11.02,0.0,35238.12,0.0,0.0,8048.96,,0.0,96.28,0.0,18.07,0.0,0.02,0.0,18.0,0.0,0.0,7497.47,1.0,8604.08,0.0,0.0,399.0,11038.22,0.25,0.0,7497.47,0.0,11.38,35238.12,0.0,500.75,0.0,0.0,7386.04,2517.01,2517.01,0.13,0.0,0.0,0.0,14.0,0.0,0.0,14.0,500.75,0.0,0.0,8241.52,4.0,2093.06,2.0,0.0,0.0,2.0,0.0,0.0,0.0,500.75,7497.47,0.08,7685.71,8241.52,4488.08,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,12314.03,697.69,4488.08,0.0,7386.04,1.0,12.87,0.0,0.0,0.0,12314.03,34480.18,81.0,7497.47,37830.12,35238.12,,0.0,0.0,0.13,8048.96,35238.12,14.0,18.07,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,399.0,0.0,0.0,,0.04,330000.0,4.0,317.46,0.0,8604.08,0.0,2101.67,49.06,330000.0,3650.42,0.0,0.0,0.0,0.0,0.0,8048.96,0.0,0.0,49.06,500.75,0.0,0.0,7497.47,0.0,2.0,1.0,0.0,18.07,0.0,0.0,0.0,2517.01,,0.0,2.0,34480.18,18.07,34480.18,0.04,0.0,0.0,22.75,35238.12,399.0,14.0,0.0,0.0,0.0,0.0,0.0,0.21,20207.18,,330000.0,0.0,2.0,0.0,0.0,0.01,-152.97,0.0,0.0,0.0,2215.81,330000.0,0.0,14.0,0.02,0.0,0.0,0.0,2517.01,49.06,0.0,0.0,0.0,0.0,240.85,0.0,22158.12,2.0,0.0,191.51,2.0,0.0,120.0,0.0,0.0,0.1,0.0,0.0,0.0,250.62,35238.12,5.72,0.0,0.0,0.0,0.0,0.0,2093.06,0.05,0.0,0.0,2.0,273.0,0.0,22158.12,0.0,,0.0,2517.01,0.0,0.0,3568.24,Xiaomi,Vi India,Xiaomi Redmi 8A,20.39.15 (100306-335085812),Xiaomi,4G,1364.0,720.0,xhdpi,False,False,True,,
2,831a2f46-dbb4-47a9-9f3b-91ff7d0214d2,oot,2.0,10247.17,4.43,0.0,24.0,17664.16,0.0,0.0,4.0,0.0,0.0,332.73,1.0,22.6,16532.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,61222.7,21.0,0.0,0.0,,61222.7,0.0,6052.67,0.08,1.0,,0.0,0.0,0.0,0.0,9744.25267,9813.42,0.0,4675.93,0.0,201.76,0.0,127.62,0.0,0.0,2360.83,,0.0,6949.31,0.0,0.0,1.0,13.0,0.99,0.0,0.0,244.55,0.0,0.0,61222.7,2.62,0.11,1.0,0.68,244.55,0.0,,244.55,0.0,,0.0,167.28,1609.15,1.78,17.38,61939.0,1.02,0.0,0.0,61939.0,0.0,0.0,3.0,0.0,1.0,0.0,2550.21,12.27,1.3,0.0,6052.67,0.0,,0.0,2.62,0.0,0.0,1.15,0.0,0.79,18344.02,851.08,2550.21,0.0,199.42,6312.83,0.0,6.0,0.0,1.0,2550.21,2.62,24.0,0.0,3.0,0.0,1.0,14173.0,0.0,0.0,0.0,5982.67,1.14,0.0,0.0,0.0,1.0,1.0,,0.0,24.0,0.0,0.0,0.0,1.0,1609.15,0.0,0.0,16215.0,18157.44,2.6,0.0,0.0,0.0,334.15,0.0,220.0,6147.5,0.0,,0.0,,,0.26,0.0,0.0,6432.88,0.0,0.0,0.0,0.0,4763.92,0.0,0.0,851.08,13.0,61483.0,3.0,0.0,0.0,5.0,457.19,2.0,0.0,6147.5,0.0,0.0,20407.57,5332.26,17.38,0.0,0.0,0.0,1.35,0.0,0.0,16532.0,10.0,4675.93,20494.33,4.43,0.0,0.0,1.0,523.06,2.0,0.0,0.0,18344.02,30030.3,306.0,0.0,61222.7,0.0,30.6,0.0,6432.88,0.0,10203.78,0.0,0.0,0.99,0.0,24.0,9865.59,0.0,0.68,0.0,3.0,0.0,1.0,16215.0,0.0,2.0,0.96,0.04,0.0,10.0,0.0,0.0,1609.15,1.0,2550.21,22.6,0.0,6312.83,0.0,0.0,0.0,0.0,0.0,5982.67,0.0,0.0,22.6,4763.92,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.99,0.69,0.0,0.0,,17.0,14173.0,0.0,30030.3,0.99,30030.3,0.0,0.0,127.62,668.29,0.0,772.14,0.0,0.0,,0.0,0.0,0.0,0.3,30030.3,1.14,0.0,0.0,5.0,0.0,2.0,0.04,119.38,0.0,1.0,,,0.0,0.0,0.0,0.05,220.0,1.0,0.0,,22.6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,355.0,0.0,0.0,0.13,0.0,0.0,49.0,665.46,0.0,169.23,0.0,0.0,0.0,0.0,244.55,61483.0,0.07,1.0,0.19,3.0,441.0,4.0,0.0,0.0,0.38,0.0,,0.0,0.0,5332.26,samsung,airtel,Samsung SM-A307FN,20.47.14 (120400-349456378),samsung,Unknown_0,1423.0,720.0,hdpi,False,False,True,False,"{""cloned"":false}"
3,d4ec4849-b80e-49e9-a8a5-0e17f7d96c02,oot,,91163.98,2498.04,0.0,119.0,10992.66,1.0,,6.0,0.0,2400.0,1722.19,1.0,52.0,52.0,9.0,0.18,0.0,0.0,0.0,0.0,0.0,310331.32,0.0,0.0,0.0,1.55,316883.32,0.0,91163.98,1.19,1.02,938.0,0.0,0.0,0.0,0.0,2341.134052,10992.66,0.0,41408.34,0.0,3038.8,,,816.0,0.0,2115.11,938.0,0.0,1352.71,0.0,0.0,0.0,36.0,1.04,0.0,0.0,456.56,3500.0,3500.0,316883.32,,0.39,1.04,1.13,456.56,9.0,1.3,456.56,0.0,938.0,0.0,865.8,8391.14,0.74,145.07,303879.93,0.26,0.0,0.0,303879.93,1293.33,0.0,0.0,0.0,0.0,1.0,2249.54,4.75,0.26,0.0,91163.98,0.0,938.0,0.0,,0.0,9.0,0.93,0.0,0.17,41054.2,5757.72,2134.46,0.0,3168.83,8391.14,1.0,9.0,0.1,0.0,2134.46,,110.0,4.0,0.0,0.0,1.02,19036.0,8000.0,0.0,0.0,95065.0,0.95,1293.33,21.86,0.0,1.04,1.0,1.81,0.0,119.0,0.0,1293.33,2400.0,,8391.14,0.0,0.0,18157.37,1153.95,0.94,0.0,2400.0,0.0,1651.52,8000.0,268.0,6435.0,0.0,1.32,2666.67,888.89,888.89,1.2,0.0,0.0,1352.71,9.0,0.0,1599.0,9.0,6435.0,0.0,0.0,5757.72,36.0,303879.93,0.0,3500.0,1599.0,2.0,614.06,2.0,0.0,6435.0,2400.0,0.05,103443.77,5757.72,2498.04,0.0,4.0,0.0,1.0,0.0,0.0,62.66,36.0,41408.34,101293.31,2498.04,,2666.67,1.0,585.72,0.0,,2.0,41408.34,104660.62,99.0,2400.0,316883.32,8000.0,52.0,0.0,1352.71,0.09,95065.0,8000.0,9.0,1.04,0.13,119.0,822.95,0.0,0.19,0.0,0.0,0.0,1.0,18157.37,112.9,0.0,0.27,0.36,0.0,36.0,80.0,1.0,8391.14,0.0,2134.46,52.0,0.0,5238.62,0.0,2.0,0.0,0.0,0.0,95065.0,0.0,0.0,52.0,6435.0,0.0,0.0,2400.0,0.0,0.0,35.0,0.0,1.04,0.19,0.0,1293.33,888.89,52.0,19036.0,0.0,104660.62,1.04,104660.62,0.02,1599.0,,3303.04,8000.0,501.77,9.0,0.0,816.0,0.0,0.0,0.0,0.22,104660.62,0.95,0.0,0.0,2.0,0.0,1.0,0.1,-3250.85,0.0,0.0,1.33,888.89,0.0,0.0,9.0,0.2,268.0,,0.0,888.89,52.0,0.0,1.0,0.0,1.0,86.96,0.0,8000.0,0.0,0.0,43.48,0.0,0.0,100.0,0.0,0.0,0.65,0.0,0.0,219.0,3373.17,8000.0,830.27,0.0,0.0,0.0,,456.56,303879.93,0.33,2.0,0.29,0.0,222.0,6.0,8000.0,0.0,0.33,0.0,888.89,3500.0,0.0,5201.5,samsung,Airtel,Samsung SM-J200G,20.50.16 (020304-351607135),samsung,3G,960.0,540.0,hdpi,False,False,True,False,"{""cloned"":false}"
5,ec51d141-20b2-4509-92ac-78343d7fc9cf,oot,1.0,19828.88,405.3,1.0,166.0,6306.16,0.0,0.0,8.0,750000.0,10318.38,677.3,0.0,5.05,49.95,58.0,0.85,0.0,0.0,0.0,0.0,0.0,82997.46,17529.95,6.0,0.0,0.81,163365.96,0.0,22848.96,0.78,1.02,,0.0,0.0,0.0,0.0,5205.229931,3206.52,0.0,13838.99,0.0,761.63,0.0,0.0,0.0,0.0,1022.9,,0.0,411.1,0.0,0.0,1.0,30.0,1.0,0.0,0.0,231.01,5056.3,5056.3,163365.96,0.0,0.16,1.05,0.87,231.01,33.0,0.39,199.33,0.0,,0.0,446.36,4736.26,1.98,71.51,162989.26,0.09,399.0,6.0,162989.26,0.0,0.0,8.0,0.0,0.0,0.0,800.8,0.72,0.17,0.0,22848.96,0.0,,0.0,0.0,0.0,33.0,1.0,0.0,0.84,12568.8,4818.29,804.39,0.0,763.39,2749.15,0.0,10.0,0.36,0.0,714.83,0.0,71.0,6.0,8.0,249.0,1.02,22904.81,61910.3,0.0,1.0,22901.77,1.02,0.0,219.15,0.0,1.05,0.0,0.81,0.0,166.0,1.0,0.0,10318.38,1.0,4736.26,0.0,0.0,23437.56,532.84,1.13,0.0,11244.43,0.0,646.59,80210.3,199.0,2774.79,0.0,0.54,12846.5,1382.94,1382.94,0.77,0.0,0.0,214.54,51.0,0.0,0.0,58.0,3411.37,0.0,0.0,4818.29,30.0,118973.26,8.0,5056.3,0.0,2.0,738.86,1.0,0.0,2785.07,11244.43,0.28,27665.82,3054.66,317.14,0.0,6.0,0.0,1.75,0.0,0.0,409.15,24.0,13838.99,27024.25,405.3,0.0,12846.5,1.0,756.05,0.0,0.0,5.0,9657.37,31598.95,212.0,11244.43,124623.96,80210.3,8.85,0.0,214.54,0.27,20770.66,80210.3,58.0,1.0,0.19,134.0,1244.33,1.0,0.84,0.0,0.0,0.0,1.0,23437.56,163.11,0.0,0.5,0.14,385000.0,15.0,374.81,0.0,4736.26,0.0,804.39,19.0,750000.0,2465.14,0.0,0.0,0.0,0.0,0.0,22901.77,1.0,0.0,19.0,3411.37,0.0,249.0,11244.43,0.0,6.0,27.0,0.0,1.0,0.85,0.0,0.0,1382.94,4.5,22904.81,3.0,20071.0,1.0,31598.95,0.16,0.0,0.0,881.23,80210.3,641.27,58.0,0.0,,0.0,0.0,1.0,0.8,20023.05,1.02,750000.0,0.0,2.0,0.0,0.0,0.08,-47.09,0.0,1.0,0.55,1167.86,385000.0,0.0,51.0,0.13,199.0,0.0,2.0,1382.94,19.0,0.0,0.0,0.0,0.0,418.91,0.0,38539.5,3.0,0.0,336.47,8.0,0.0,214.0,0.0,0.0,0.73,498.0,0.0,0.0,902.15,61910.3,445.33,1.0,1.0,0.0,0.0,265.67,81072.76,0.45,1.0,0.32,8.0,244.0,8.0,38539.5,0.0,0.37,0.0,1213.93,5056.3,0.0,2484.74,samsung,Airtel,Samsung SM-J320F,20.50.16 (020306-351607135),samsung,4G,1280.0,720.0,xhdpi,False,False,True,False,"{""cloned"":false}"
6,0991fec2-bc6f-4ebc-a80d-0a229f4e01cd,oot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3539.719461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,,,,,,,,,,samsung,airtel | Airtel,Samsung SM-G600FY,20.50.16 (040306-351607135),samsung,Wifi,1280.0,720.0,xhdpi,False,False,True,False,"{""cloned"":false}"
7,0a54f013-9847-4c3c-8e9b-9b8722ca0beb,oot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16747.93029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.0,,,,,,,,,,xiaomi,IND airtel,Xiaomi Redmi Note 8,20.50.16 (100400-351607135),Xiaomi,4G,2130.0,1080.0,xhdpi,False,False,True,False,"{""cloned"":false}"
8,6bf596a0-e94e-4274-8b5d-216d0a54a877,oot,3.0,547600.51,53957.85,0.0,101.0,139059.06,0.0,0.0,2.0,0.0,13371.07,4555.14,0.0,32558.9,2646.13,3.0,1.19,0.0,0.0,0.0,0.0,0.0,838145.9,35400.0,0.0,0.0,,838145.9,0.0,547600.51,2.4,1.09,531.0,0.0,0.0,28.0,36.0,1345.255289,139059.06,0.0,150235.29,0.0,18253.35,0.0,16.33,1081.5,0.0,13745.81,531.0,0.0,49938.5,0.0,0.0,0.0,35.0,1.09,0.0,0.0,0.0,8719.5,3500.0,838145.9,0.0,0.38,1.09,2.68,0.0,7.0,1.38,0.0,0.0,531.0,36.0,2290.02,39311.85,2.54,53957.85,766640.72,1.27,0.0,0.0,766640.72,1317.0,0.0,2.0,0.0,1.0,0.0,7697.93,,1.01,0.0,547600.51,0.0,531.0,0.0,16.33,0.0,3.0,0.98,0.0,2.52,150235.29,49246.75,7697.93,0.0,19955.85,39311.85,1.0,30.0,0.08,0.0,7697.93,16.33,101.0,6.0,2.0,0.0,1.09,662109.78,18719.5,0.0,0.0,598675.64,1.08,1317.0,51.15,0.0,1.09,0.0,,0.0,101.0,0.0,1317.0,9642.86,1.0,39311.85,0.0,0.0,712895.9,17176.79,2.44,0.0,9642.86,0.0,4166.53,18719.5,0.0,13668.56,0.0,2.54,13371.07,2674.21,2674.21,1.1,0.0,0.0,49938.5,3.0,0.0,0.0,7.0,13668.56,0.0,0.0,49246.75,35.0,766640.72,2.0,3500.0,0.0,3.0,21358.38,0.0,0.0,13668.56,9642.86,0.04,598675.64,49246.75,53957.85,0.0,2.0,0.0,1.0,0.0,0.0,2935.0,35.0,150235.29,547600.51,53957.85,0.0,9642.86,1.0,22996.64,2.0,0.0,0.0,150235.29,139059.06,41.0,13371.07,838145.9,13500.0,32558.9,0.0,49938.5,0.17,598675.64,18719.5,3.0,1.09,0.19,101.0,17555.97,0.0,2.56,36.0,2.0,0.0,1.0,712895.9,281.27,2.0,0.93,0.83,0.0,35.0,445.7,1.0,39311.85,0.0,7697.93,32558.9,0.0,39311.85,0.0,2.0,0.0,0.0,0.0,598675.64,0.0,0.0,32558.9,13668.56,0.0,0.0,13371.07,0.0,0.0,83.0,0.0,1.09,1.21,0.0,1317.0,4500.0,32558.9,662109.78,0.0,139059.06,1.09,139059.06,0.02,0.0,16.33,8333.05,13500.0,7858.32,7.0,0.0,531.0,0.0,0.0,0.0,1.02,139059.06,1.08,0.0,36.0,4.0,0.0,0.0,0.1,-23835.06,0.0,0.0,1.2,2674.21,0.0,0.0,7.0,0.19,0.0,0.0,0.0,4500.0,32558.9,0.0,1.0,2.0,0.0,203.47,0.0,18719.5,0.0,0.0,101.74,2.0,0.0,42.0,0.0,0.0,0.55,0.0,0.0,0.0,9110.28,13500.0,2094.65,0.0,0.0,0.0,0.0,0.0,766640.72,0.28,1.0,0.97,2.0,225.0,2.0,13500.0,0.0,1.01,0.0,2674.21,8719.5,0.0,49246.75,realme,Jio 4G,Realme RMX2081,20.47.14 (120408-349456378),realme,Unknown_0,2160.0,1080.0,xxhdpi,False,False,True,False,"{""cloned"":false}"
10,dfb5fd20-2924-4cb6-82cb-399cb09deaf1,oot,,16018.82,90.6,0.0,15.0,11322.64,0.0,0.0,0.0,,1764.71,130.36,0.0,151.0,11322.64,1.0,1.7,,,0.0,,0.0,23987.0,,,0.0,,23987.0,0.0,16018.82,0.71,0.88,0.0,,,0.0,0.0,1724.44086,6793.58,0.0,6793.58,,1296.76,,,0.0,0.0,2723.2,0.0,,4815.66,0.0,,0.0,10.0,0.88,0.0,,1088.18,3000.0,3000.0,23987.0,,0.11,0.88,0.48,1088.18,1.0,2.97,1088.18,0.0,0.0,0.0,65.54,3792.33,2.97,90.6,27232.0,1.0,0.0,,27232.0,0.0,0.0,,0.0,,0.0,1599.13,,1.0,0.0,16018.82,0.0,0.0,0.0,,,1.0,1.0,0.0,2.97,6793.58,4815.66,1599.13,,1142.24,3792.33,0.0,10.0,0.01,,1599.13,,15.0,1.0,,0.0,0.88,27232.0,3000.0,0.0,0.0,14110.0,0.88,0.0,8.2,,0.88,0.0,,0.0,15.0,,0.0,1764.71,,3792.33,,0.0,23987.0,1783.38,2.97,,1764.71,0.0,148.0,3000.0,399.0,2723.2,0.0,2.97,1764.71,3000.0,3000.0,0.16,,0.0,3792.33,1.0,,0.0,1.0,2723.2,0.0,0.0,4815.66,10.0,27232.0,,3000.0,0.0,2.0,878.45,1.0,0.0,2723.2,1764.71,0.01,14110.0,4815.66,90.6,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,6793.58,16018.82,90.6,0.0,1764.71,1.0,773.77,,,1.0,6793.58,11322.64,20.0,1764.71,23987.0,3000.0,151.0,0.0,3792.33,0.05,14110.0,3000.0,1.0,0.88,0.03,15.0,0.0,,2.97,0.0,,,1.0,23987.0,96.77,,1.67,0.48,,10.0,142.86,0.0,3792.33,0.0,1599.13,151.0,,3792.33,0.0,0.0,0.0,0.0,0.0,14110.0,0.0,0.0,151.0,2723.2,0.0,0.0,1764.71,0.0,,15.0,0.0,0.88,1.7,0.0,0.0,3000.0,90.6,27232.0,,11322.64,0.88,11322.64,0.0,0.0,,296.0,3000.0,1599.13,1.0,0.0,0.0,0.0,0.0,,1.0,11322.64,0.88,,0.0,2.0,0.0,0.0,0.03,1622.5,0.0,0.0,1.7,3000.0,,0.0,1.0,0.05,1088.18,,0.0,3000.0,151.0,0.0,0.0,,1.0,32.61,0.0,3000.0,,0.0,16.3,,0.0,56.0,0.0,0.0,0.08,0.0,0.0,0.0,260.73,3000.0,74.4,,0.0,0.0,,1088.18,27232.0,0.04,0.0,0.32,,379.0,0.0,3000.0,0.0,1.0,,3000.0,3000.0,0.0,4815.66,samsung,Jio 4G,Samsung SM-M315F,20.50.16 (120400-351607135),samsung,Unknown_0,2113.0,1080.0,xxhdpi,False,False,True,,
